,Gender,Race,Age,County,Current Facility,Offense Code,TDCJ Offense,TDCJ Number,Sentence (Years),Last Parole Decision,Parole Review Status,Parole Eligibility (Years),Sentence Left (Years)
33020,1,2,43,156,47,23990009,10367,1957418,20.0,0,0,2,13
33021,1,2,45,213,51,35990003,8825,1155225,15.0,0,0,6,3
33022,1,1,44,213,94,13990076,1905,2308650,6.0,0,0,1,4
33024,1,1,51,18,5,50060001,10182,935352,5.0,1,0,1,3
33025,1,6,46,2,20,54040011,4098,2237860,7.0,0,1,2,3
33026,1,6,59,56,24,54040011,5196,2336201,4.0,0,1,1,2
33028,1,6,47,219,0,9150000,7143,787626,40.0,0,0,6,14
33029,1,6,46,107,7,12990002,864,741149,35.0,1,0,8,9
33030,1,2,52,208,22,22990001,3316,2337240,6.0,0,0,1,5
33031,1,2,44,147,96,13990075,1874,2309985,6.0,0,1,2,4
33034,1,1,44,99,88,35990020,7770,2316559,3.0,0,0,1,1
33035,1,1,46,2,9,52120009,11044,2336117,2.0,0,1,0,2
33037,1,2,56,156,85,13990025,6534,1124650,10.0,0,0,3,2
33038,1,6,44,99,46,9140000,2681,763170,30.0,0,0,11,4
33042,1,2,51,45,29,48040003,10334,2170954,32.5,0,0,1,28
33044,1,6,50,99,19,9990019,7143,1579995,20.0,0,0,2,8
33045,1,2,43,213,35,9990019,7143,2061379,15.0,0,1,0,8
33046,1,6,43,99,47,73990630,10265,2290385,8.0,0,0,1,6
33047,1,6,43,89,74,35990015,8020,2076672,15.0,1,0,4,10
33054,1,1,43,206,47,54040011,4115,1804937,18.0,0,1,0,9
33056,1,6,48,126,19,35990003,6695,2166206,15.0,1,0,3,10
33060,1,2,42,213,93,9990001,7143,728825,45.0,0,0,4,20
33062,1,6,53,24,25,23990157,10505,2078348,30.0,0,1,2,24
33064,1,2,43,147,64,48010020,4610,2288118,12.0,0,0,0,10
33065,1,1,45,55,3,13990076,2102,2326834,4.0,0,0,2,2
33066,1,2,43,99,15,12990001,9676,2119024,12.0,0,0,4,7
33069,1,1,44,99,73,12990001,9666,2203049,10.0,0,0,2,6
33071,1,2,47,122,63,48010020,4428,2335805,7.0,0,0,1,5
33074,1,2,56,46,19,54040011,4069,1949753,38.0,0,1,4,30
33075,1,2,45,68,77,35990021,7773,2324262,3.0,1,0,1,2
33076,1,6,45,222,86,11990004,1419,1024905,25.0,0,1,8,4
33078,1,1,43,204,0,12990001,9666,2187259,20.0,0,0,2,15
33081,1,2,44,55,46,9990019,7143,1165460,35.0,0,0,1,16
33082,1,2,45,14,94,20990005,1686,2164921,10.0,1,0,3,6
33084,0,2,43,14,69,12990002,864,1705126,15.0,0,0,4,3
33085,1,2,45,21,30,25890002,5297,2287509,4.0,0,0,2,2
33086,1,1,44,99,88,9990018,3692,1587229,25.0,0,0,1,11
33087,1,1,44,99,53,13990011,6447,869281,35.0,0,0,14,13
33089,1,1,43,206,97,13990043,6128,2332715,15.0,0,0,0,13
33091,1,1,44,99,47,22990002,3271,2193648,7.0,0,0,4,2
33098,1,6,46,238,46,37040001,9581,1698241,999.0,1,0,1,999
33099,0,1,44,55,17,9990030,7143,2186989,7.0,0,0,1,3
33100,1,2,44,99,73,13150005,82,1346727,17.0,0,0,8,1
33102,1,1,43,99,32,12990002,986,1887749,15.0,1,0,1,6
33104,1,2,43,99,73,35990003,8960,1857550,16.0,1,0,7,7
33108,1,2,47,81,0,35990016,8413,2136024,16.0,0,0,3,11
33109,0,6,56,120,56,54040011,4069,2341460,5.0,1,0,0,4
33113,1,6,42,213,46,9990008,2681,808164,35.0,0,0,7,16
33118,1,2,53,30,61,9990019,7143,1726878,20.0,0,0,1,9
33120,1,1,45,55,13,35990003,8842,1650406,15.0,0,0,1,9
33121,1,6,48,193,14,54040011,4091,2316938,7.0,0,1,1,5
33123,0,1,44,206,69,13150005,480,2270981,5.0,0,0,0,2
33125,1,6,45,170,3,54040011,4069,2189770,6.0,1,0,3,2
33131,1,1,43,55,13,12990002,864,2058848,10.0,0,1,1,4
33132,1,6,45,126,25,35990015,7922,2192107,8.0,0,1,2,5
33133,1,2,43,213,89,13150005,304,1518283,25.0,0,0,2,11
33135,1,6,44,82,37,54040011,4110,2339139,3.0,1,0,0,2
33137,1,6,48,82,75,25890020,5261,2123345,10.0,0,0,1,6
33141,1,6,43,77,24,13990075,2284,2229855,4.0,1,0,3,1
33144,1,2,48,68,99,12990002,864,1270280,35.0,0,0,1,21
33145,1,2,48,12,81,63000003,7123,2293261,6.0,0,0,1,4
33147,1,1,56,99,97,22990001,2895,2321147,2.0,0,0,1,1
33150,1,2,44,106,61,48010020,4430,2248592,10.0,0,1,3,6
33154,1,6,49,2,21,11990002,10017,1397250,18.0,0,0,6,3
